tool_name,category,features,pricing
"Moosend","Email-маркетинг","Создание рассылок, автоматизация, аналитика","Бесплатно до 1,000 подписчиков, платные планы от $8 в месяц"
"SocialBee","SMM","Управление контентом в социальных сетях, планирование, аналитика","От $19 в месяц"
"Zapier","Автоматизация","Автоматизация рабочих процессов между приложениями, интеграции","Бесплатно с платными версиями от $19.99 в месяц"
"Buffer Analyze","SMM","Аналитика для социальных медиа, отслеживание производительности контента","От $35 в месяц"
"Influencity","SMM","Поиск и анализ инфлюенсеров, управление кампаниями","Цена по запросу"
"Canva Pro","Дизайн","Расширенные функции дизайна, создание графики для соцсетей, шаблоны","От $12.95 в месяц"
"Google Data Studio","Аналитика","Создание интерактивных отчетов и панелей мониторинга на основе данных","Бесплатно"
"Clicktale","Аналитика","Запись сессий, тепловые карты, анализ поведения пользователей","Цена по запросу"
"Shareaholic","Контент-маркетинг","Инструменты для социальных медиа, аналитика, управление контентом","Бесплатно с платными версиями"
"Mailchimp Transactional","Email-маркетинг","Отправка транзакционных email, автоматизация, аналитика","От $20 в месяц"
"GetResponse","Email-маркетинг","Создание рассылок, автоматизация, создание лендингов","От $15 в месяц"
"SocialPilot","SMM","Планирование публикаций, управление несколькими аккаунтами, аналитика","От $25 в месяц"
"ClickMeter","Аналитика","Отслеживание ссылок, аналитика трафика, A/B тестирование","От $29 в месяц"
"Vero","Email-маркетинг","Персонализированные email-кампании, автоматизация, аналитика","Цена по запросу"
"RescueTime","Аналитика","Отслеживание времени, анализ продуктивности, цели","Бесплатно с платными версиями от $6.50 в месяц"
"Grammarly","Контент-маркетинг","Проверка грамматики и стиля текста, предложения по улучшению","Бесплатно с платными версиями от $12 в месяц"
"Leadfeeder","Аналитика","Определение компаний, посещающих ваш сайт, генерация лидов","От $55 в месяц"
"ClickFunnels","Маркетинг воронок","Создание воронок продаж, автоматизация маркетинга","От $97 в месяц"
"AdEspresso","PPC","Управление рекламой в Facebook и Instagram, A/B тестирование","От $49 в месяц"
"WebinarJam","Вебинары","Создание и проведение вебинаров, автоматизация, аналитика","От $499 в год"
"Typeform","Опросы","Создание интерактивных форм и опросов, сбор данных","Бесплатно с платными версиями от $35 в месяц"
"Ahrefs Site Audit","SEO","Аудит сайта, анализ ошибок SEO, рекомендации по улучшению","Входит в подписку Ahrefs от $99 в месяц"
"Google Optimize","A/B тестирование","Платформа для A/B тестирования и оптимизации пользовательского опыта","Бесплатно в рамках Google Marketing Platform"
"KeywordTool.io","SEO","Генерация ключевых слов для SEO и PPC, анализ конкурентов","Бесплатно с платными версиями от $69 в месяц"
"SocialBee","SMM","Управление контентом в социальных сетях, планирование и аналитика","От $19 в месяц"
"Ubersuggest","SEO","Анализ ключевых слов, идей контента, аудит сайта","Бесплатно с платными версиями от $29 в месяц"
"Crazy Egg","Аналитика","Тепловые карты, запись сессий, анализ поведения пользователей","От $24 в месяц"
"SEMrush","SEO","Анализ конкурентов, исследование ключевых слов, аудит сайта","От $119.95 в месяц"
"BuzzSumo","Контент-маркетинг","Анализ популярного контента, мониторинг упоминаний, идеи для контента","От $99 в месяц"
"Sprout Social","SMM","Управление социальными медиа, планирование контента, аналитика","От $99 в месяц"
"HubSpot","Маркетинг","Полноценная CRM, автоматизация маркетинга, аналитика","Бесплатно с платными версиями от $45 в месяц"
"Mailchimp","Email-маркетинг","Создание и отправка рассылок, автоматизация, аналитика","Бесплатно до 2000 подписчиков, платные планы от $9.99 в месяц"
"Ahrefs","SEO","Анализ ссылок, исследование ключевых слов, аудит контента","От $99 в месяц"
"Leadpages","Лендинги","Создание целевых страниц, интеграции, A/B тестирование","От $27 в месяц"
"ClickFunnels","Маркетинг воронок","Создание воронок продаж, автоматизация маркетинга","От $97 в месяц"
"Google Ads","PPC","Создание и управление рекламными кампаниями, аналитика","Оплата за клик, минимальный бюджет зависит от кампании"
"Yoast SEO","SEO","Оптимизация контента, анализ ключевых слов, рекомендации по улучшению","От $99 в год"
"ActiveCampaign","Email-маркетинг","Автоматизация, сегментация, CRM","От $9 в месяц"
"Unbounce","Лендинги","Создание и оптимизация целевых страниц, A/B тестирование","От $80 в месяц"
"Fiverr","Фриланс","Платформа для поиска фрилансеров в различных областях, включая маркетинг","Цена по запросу"
"Canva","Дизайн","Создание графики, шаблоны для соцсетей, редактирование изображений","Бесплатно с платными версиями от $12.99 в месяц"
"Google Trends","Аналитика","Анализ трендов поисковых запросов, исследование интересов","Бесплатно"
"Socialbakers","SMM","Аналитика социальных медиа, мониторинг брендов, управление контентом","Цена по запросу"
"Viral Loops","Контент-маркетинг","Создание реферальных программ, вирусных кампаний","От $49 в месяц"
"SurveyMonkey","Опросы","Создание и проведение опросов, анализ результатов","Бесплатно с платными версиями от $32 в месяц"
"Clicky","Аналитика","Анализ трафика в реальном времени, отслеживание пользователей","От $9.99 в месяц"
"Brand24","Мониторинг","Мониторинг упоминаний бренда в социальных сетях и интернете","От $49 в месяц"
"FunnelFlix","Обучение","Обширная библиотека обучающих материалов по маркетингу и продажам","Входит в подписку ClickFunnels от $97 в месяц"
"Qualaroo","Опросы","Создание опросов на сайте, сбор отзывов","От $80 в месяц"
"Mailjet","Email-маркетинг","Создание и отправка рассылок, автоматизация, аналитика","Бесплатно до 6,000 писем в месяц, платные планы от $9.65 в месяц"
"Drip","Email-маркетинг","Автоматизация маркетинга, управление клиентами, аналитика","От $19 в месяц"
"GetResponse","Email-маркетинг","Создание рассылок, автоматизация, создание лендингов","От $15 в месяц"
"ClickMeter","Аналитика","Отслеживание ссылок, аналитика трафика, A/B тестирование","От $29 в месяц"
"Instapage","Лендинги","Создание целевых страниц, A/B тестирование, интеграции","От $199 в месяц"
"Qualtrics","Опросы","Профессиональные опросы и исследования, аналитика, интеграции","Цена по запросу"
"ClickFunnels","Маркетинг воронок","Создание воронок продаж, автоматизация маркетинга","От $97 в месяц"
"SE Ranking","SEO","Анализ позиций, аудит сайта, исследование ключевых слов","От $39 в месяц"
"Ahrefs","SEO","Анализ обратных ссылок, аудиты сайтов, исследование контента","От $99 в месяц"
"Microsoft Clarity","Аналитика","Запись сессий, тепловые карты, анализ поведения пользователя","Бесплатно"
"Mailchimp","Email-маркетинг","Создание и отправка рассылок, автоматизация, аналитика","Бесплатно до 2000 подписчиков, платные планы от $9.99 в месяц"
"Survicate","Опросы","Создание опросов на сайте и в email, аналитика","От $89 в месяц"
"GetResponse","Email-маркетинг","Создание рассылок, автоматизация, создание лендингов","От $15 в месяц"
"SendinBlue","Email-маркетинг","Создание и отправка рассылок, SMS-маркетинг, автоматизация","Бесплатно до 300 писем в день, платные планы от $25 в месяц"
"Vidyard","Видеомаркетинг","Создание и хостинг видео, аналитика вовлеченности","Бесплатно с платными версиями от $15 в месяц"
"Buffer","SMM","Планирование и публикация контента, аналитика, управление несколькими аккаунтами","От $15 в месяц"
"Sniply","Контент-маркетинг","Добавление CTA к любому контенту, отслеживание кликов","От $29 в месяц"
"Viral Loops","Контент-маркетинг","Создание реферальных и вирусных кампаний","От $49 в месяц"
"Crazy Egg","Аналитика","Тепловые карты, анализ поведения пользователей, A/B тестирование","От $24 в месяц"
"Zapier","Автоматизация","Автоматизация рабочих процессов между приложениями, интеграции","Бесплатно с платными версиями от $19.99 в месяц"
"SocialBee","SMM","Управление контентом в социальных сетях, планирование и аналитика","От $19 в месяц"
"Hotjar","Аналитика","Запись сессий, тепловые карты, опросы пользователей","Бесплатно с платными версиями от $39 в месяц"
"FunnelFlix","Обучение","Библиотека обучающих материалов по маркетингу и продажам","Входит в подписку ClickFunnels от $97 в месяц"
"AdRoll","Ретаргетинг","Платформа для ретаргетинга, управление рекламными кампаниями","Цена по запросу"
"SocialOomph","SMM","Планирование постов, управление несколькими аккаунтами, аналитика","От $17.97 в месяц"
"Mailgun","Email-маркетинг","API для отправки и получения email, аналитика","Бесплатно до 5,000 писем в месяц, платные планы от $15 в месяц"
"Leadformly","Опросы","Создание форм для сбора лидов, интеграции","От $29 в месяц"
"Typeform","Опросы","Создание интерактивных опросов и форм, сбор данных","Бесплатно с платными версиями от $35 в месяц"
"BuzzStream","Контент-маркетинг","Управление ссылками, PR и outreach, анализ конкурентов","От $24 в месяц"
"Ahrefs Keywords Explorer","SEO","Глубокий анализ ключевых слов, оценка объема поиска","Входит в подписку Ahrefs от $99 в месяц"
